\ Traces for Non-restoring division algorithm described in
\ Hennessey and Patterson Computer Architecture Appendix I

10. 4 um/mod

64 bit

       P                A           A|=1
----------------- ----------------- ----
pp3/$t6  t1/$t1   pp2/$t5  pp1/$s4
00000000 00000000 00000000 00000014 -
00000000 00000000 00000000 00000028 -
00000000 00000000 00000000 00000050 -
00000000 00000000 00000000 000000a0 -
00000000 00000000 00000000 00000140 -
00000000 00000000 00000000 00000280 -
00000000 00000000 00000000 00000500 -
00000000 00000000 00000000 00000a00 -
00000000 00000000 00000000 00001400 -
00000000 00000000 00000000 00002800 -
00000000 00000000 00000000 00005000 -
00000000 00000000 00000000 0000a000 -
00000000 00000000 00000000 00014000 -
00000000 00000000 00000000 00028000 -
00000000 00000000 00000000 00050000 -
00000000 00000000 00000000 000a0000 -
00000000 00000000 00000000 00140000 -
00000000 00000000 00000000 00280000 -
00000000 00000000 00000000 00500000 -
00000000 00000000 00000000 00a00000 -
00000000 00000000 00000000 01400000 -
00000000 00000000 00000000 02800000 -
00000000 00000000 00000000 05000000 -
00000000 00000000 00000000 0a000000 -
00000000 00000000 00000000 14000000 -
00000000 00000000 00000000 28000000 -
00000000 00000000 00000000 50000000 -
00000000 00000000 00000000 a0000000 -
00000000 00000000 00000001 40000000 -
00000000 00000000 00000002 80000000 -
00000000 00000000 00000005 00000000 -
00000000 00000000 0000000a 00000000 -
00000000 00000000 00000014 00000000 -
00000000 00000000 00000028 00000000 -
00000000 00000000 00000050 00000000 -
00000000 00000000 000000a0 00000000 -
00000000 00000000 00000140 00000000 -
00000000 00000000 00000280 00000000 -
00000000 00000000 00000500 00000000 -
00000000 00000000 00000a00 00000000 -
00000000 00000000 00001400 00000000 -
00000000 00000000 00002800 00000000 -
00000000 00000000 00005000 00000000 -
00000000 00000000 0000a000 00000000 -
00000000 00000000 00014000 00000000 -
00000000 00000000 00028000 00000000 -
00000000 00000000 00050000 00000000 -
00000000 00000000 000a0000 00000000 -
00000000 00000000 00140000 00000000 -
00000000 00000000 00280000 00000000 -
00000000 00000000 00500000 00000000 -
00000000 00000000 00a00000 00000000 -
00000000 00000000 01400000 00000000 -
00000000 00000000 02800000 00000000 -
00000000 00000000 05000000 00000000 -
00000000 00000000 0a000000 00000000 -
00000000 00000000 14000000 00000000 -
00000000 00000000 28000000 00000000 -
00000000 00000000 50000000 00000000 -
00000000 00000000 a0000000 00000000 -
00000000 00000001 40000000 00000000 -
00000000 00000002 80000000 00000000 -
00000000 00000005 00000000 00000000 +
00000000 00000002 00000000 00000002 -
